Index A,Index B,Issue Name,Where the issue is found,Type of Issue,Evidence of Exploitation,Potential damage incured during testing,Security Level
1,10,Tampering of cabling for monitoring system does not trigger alert,Alarms and Monitoring,Fault in BMS/SMS ,Covert,Minor Cosmetic Damage ,SL1
1,41,Durress Button does not send alert,Alarms and Monitoring,Fault in BMS/SMS ,Not Applicable,No identifiable signs of damage,Varies
1,42,Fire Indicator Panel event does not send alert,Alarms and Monitoring,Fault in BMS/SMS ,Not Applicable,No identifiable signs of damage,Varies
1,1,Bypass of Magnetic Reed Switch due to,Alarms and Monitoring,Improper Installation,Surreptitious,No identifiable signs of damage,Varies
1,2,Bypass of Magnetic Reed Switch due to - Poor Installation,Alarms and Monitoring,Improper Installation,Surreptitious,No identifiable signs of damage,SL2
1,3,Bypass of Magnetic Reed Switch due to - Poorly configured sensors,Alarms and Monitoring,Improper Installation,Surreptitious,No identifiable signs of damage,SL2
1,4,Bypass of Magnetic Reed Switch due to - Improperly installed sensors,Alarms and Monitoring,Improper Installation,Surreptitious,No identifiable signs of damage,SL2
1,5,Bypass of Magnetic Reed Switch due to - Single-Magnet System,Alarms and Monitoring,Improper Installation,Surreptitious,No identifiable signs of damage,SL4
1,11,Bypass of event trigger for,Alarms and Monitoring,Improper Installation,Varies,Varies,Varies
1,12,Bypass of event trigger for - Security Management System enclosure,Alarms and Monitoring,Improper Installation,Varies,Varies,SL3
1,13,Bypass of event trigger for - Building Management System enclosure,Alarms and Monitoring,Improper Installation,Varies,Varies,SL3
1,14,Bypass of event trigger for - Elevator Management System enclosure,Alarms and Monitoring,Improper Installation,Varies,Varies,SL3
1,15,Bypass of event trigger for - Intrusion Detection System enclosure,Alarms and Monitoring,Improper Installation,Varies,Varies,SL3
1,16,Bypass of event trigger for - Fire System enclosure,Alarms and Monitoring,Improper Installation,Varies,Varies,SL3
1,17,Bypass of event trigger for - Monitored Paddle,Alarms and Monitoring,Improper Installation,Varies,Varies,SL3
1,18,Bypass of event trigger for - Monitored Latch,Alarms and Monitoring,Improper Installation,Varies,Varies,SL3
2,22,Data backups not located in a secure location,Backup and Redundency,Improper Installation,Not Applicable,Not Applicable,Not Applicable
3,6,Fire Indicator does not connected to Security Management System,BMS/SMS Configuration and Implementation,Improper Installation,Overt,Not Applicable,Not Applicable
4,3,Sensitive Equipment or Enclosure contains bypass for access control mechaism,Building or Facility Design and Implementation,Improper Installation,Surreptitious,Not Applicable,Varies
4,4,PIR/Motion based REX sensor can be triggered from externally accessable location,Building or Facility Design and Implementation,Improper Installation,Covert,Not Applicable,SL1
4,5,Capacitive Touch based REX button installed near externally accessable location (High Power output attack - See OzLockCon),Building or Facility Design and Implementation,Improper Installation,Surreptitious,No identifiable signs of damage,SL4
4,6,Physical REX button installed in external/insecure side of door,Building or Facility Design and Implementation,Improper Installation,Covert,Not Applicable,SL1
4,7,Physical REX button accessable from external/insecure side of door,Building or Facility Design and Implementation,Improper Installation,Covert,Not Applicable,SL2
4,8,Poorly barriered drop ceiling/floor allows for bypass of access control to Sensitive Area,Building or Facility Design and Implementation,Improper Installation,Surreptitious,Minor Cosmetic Damage ,SL3
4,9,Sensitive Area ingress/egress bypasses access controls,Building or Facility Design and Implementation,Improper Installation,Varies,Not Applicable,SL1
4,10,Sensitive Area lacking appropriate access controls,Building or Facility Design and Implementation,Improper Installation,Varies,Not Applicable,SL1
4,12,Cable Transfer device not used on door,Building or Facility Design and Implementation,Improper Installation,Varies,Not Applicable,Not Applicable
4,13,Data Wiring running via unsecured area,Building or Facility Design and Implementation,Improper Installation,Surreptitious,No identifiable signs of damage,SL2
4,14,Data Wiring not properly shielded from physical access,Building or Facility Design and Implementation,Improper Installation,Surreptitious,No identifiable signs of damage,SL2
4,15,Sensitive equipment or enclosure not located in appropriate secure location,Building or Facility Design and Implementation,Improper Installation,Surreptitious,Not Applicable,SL2
4,16,Power wiring for sensitive equipment not properly shielded from physical access,Building or Facility Design and Implementation,Improper Installation,Surreptitious,Not Applicable,SL2
4,17,Emergency Egress Stairs allow for internal movement through building,Building or Facility Design and Implementation,Improper Installation,Covert,Not Applicable,SL1
4,19,Internal Movement Stairs lack access control,Building or Facility Design and Implementation,Improper Installation,Covert,Not Applicable,SL1
4,23,Sensitive Area Door not configured with Access Control Mechanism,Building or Facility Design and Implementation,Improper Installation,Covert,Not Applicable,SL1
4,36,Alarm Panel not located within secure area or highly secure zones,Building or Facility Design and Implementation,Improper Installation,Varies,Not Applicable,SL2
4,37,Audible or visual alarm for sensitive door located in external/insecure side of door,Building or Facility Design and Implementation,Improper Installation,Varies,Not Applicable,SL2
4,38,Magnetic Door Lock does not fully engage during door closing,Building or Facility Design and Implementation,Improper Installation,Covert,Not Applicable,SL1
5,1,CCTV System does not monitor,CCTV Monitoring/Recording,Improper Installation,Covert,Not Applicable,SL1
5,2,CCTV System does not monitor - Ingress/egress of primary entry points,CCTV Monitoring/Recording,Improper Installation,Covert,Not Applicable,SL1
5,3,CCTV System does not monitor - Ingress/egress of fire doors,CCTV Monitoring/Recording,Improper Installation,Covert,Not Applicable,SL1
5,4,CCTV System does not monitor - Ingress/egress of sensitive areas,CCTV Monitoring/Recording,Improper Installation,Covert,Not Applicable,SL1
5,5,CCTV System does not monitor - Sensitive Equipment,CCTV Monitoring/Recording,Improper Installation,Covert,Not Applicable,SL1
7,1,Door handle suseptable to Under Door Attack,Doors,Improper Installation,Covert,No identifiable signs of damage,SL3
7,2,Door handle suseptable to Over door attack,Doors,Improper Installation,Covert,No identifiable signs of damage,SL3
7,3,Thumb Turn operable from external area due to poor physical barrier or fitment (Thumb Turner Tool/J-Tool),Doors,Improper Installation,Covert,No identifiable signs of damage,SL3
7,4,Crash Bar operable from external area due to poor physical barrier or fitment,Doors,Improper Installation,Covert,No identifiable signs of damage,SL3
7,5,Bolts operable from external area due to poor physical barrier or fitment,Doors,Improper Installation,Covert,No identifiable signs of damage,SL2
7,6,Dead latch does not engage due to poorly installed latch plate,Doors,Improper Installation,Surreptitious,Minor Cosmetic Damage ,SL1
7,7,Deadlatch Bypassed due to poor door fitment (Expanding door gap with air wedge),Doors,Improper Installation,Surreptitious,Minor Cosmetic Damage ,SL2
7,9,Internal Door missing captive pins or mechanisms to prevent removal of door,Doors,Improper Installation,Covert,Minor Cosmetic Damage ,SL2
7,10,Material Transparency or Weakness in material in use allows for access to backside of door (Example - Wire Fence material),Doors,Improper Installation,Surreptitious,No identifiable signs of damage,SL1
9,1,Key box in use at insecure location,Locks,Improper Installation,Varies,Not Applicable,Varies
9,2,Key box in use at insecure location - External to building Location,Locks,Improper Installation,Varies,Not Applicable,Varies
9,3,Key box in use at insecure location - Publicly accessable location,Locks,Improper Installation,Varies,Not Applicable,Varies
9,4,Key box in use can be removed from fixed location,Locks,Improper Installation,Overt,Varies,SL1
10,10,RFID Reader downgrade attack via in-field programming,RFID Access Control Systems,Improper Installation,Covert,Not Applicable,SL4
10,15,RFID Access Controller allows for unauthenticated reader adoption,RFID Access Control Systems,Improper Installation,Surreptitious,Not Applicable,SL4
10,17,RFID Access Controller setup with Auto-Enrollment for OSDP,RFID Access Control Systems,Improper Installation,Surreptitious,Not Applicable,SL4
10,18,RFID Access Controller does not prevent downgrade attacks of secure to insecure communication protocol ,RFID Access Control Systems,Improper Installation,Covert,Not Applicable,SL4
1,6,Magnetic Reed Switch does not trigger alert for Door Open/Door Close/Door open too long/Forceful Entry,Alarms and Monitoring,Logging of Security Events,Surreptitious,No identifiable signs of damage,SL1
